year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta,finbert_positive,finbert_negative,finbert_neutral,finbert_net,hawk_composite
2004,2004-05-04,statement,173,0,5,-5,-2.8901734104046244,0.0,5,0.7752164639918795,0.2751966686438098,0.3958533629555172,0.5383980181668044,0.0,0.9300974011421204,0.0349512994289398,0.0349512994289398,0.8951461017131805,0.4737865254282951
2004,2004-06-30,statement,254,1,4,-3,-1.1811023622047243,0.2,5,0.5558783204923156,0.2951549797266165,0.7030381533803667,1.7090710481999,0.2,0.6637680530548096,0.1681159734725952,0.1681159734725952,0.4956520795822143,0.4739130198955535
2004,2004-08-10,statement,272,1,4,-3,-1.1029411764705883,0.2,5,0.8819145702997316,0.3079647837831405,0.7212405336931782,0.078161185734136,0.0,0.1840367615222931,0.1840367615222931,0.6319264769554138,0.0,0.35
2004,2004-09-21,statement,253,0,4,-4,-1.5810276679841897,0.0,4,0.9107161777619304,0.3075073514621939,0.7184058264433496,-0.4780864915136014,-0.2,0.5815523862838745,0.2092238068580627,0.2092238068580627,0.3723285794258117,0.3430821448564529
2004,2004-11-10,statement,234,0,4,-4,-1.7094017094017095,0.0,4,0.9055071475756876,0.3127140863754131,0.7181345229164677,-0.1283740414175198,0.0,0.6586578488349915,0.1706710755825042,0.1706710755825042,0.4879867732524872,0.3719966933131218
2004,2004-12-14,statement,180,0,4,-4,-2.2222222222222223,0.0,4,0.7783546262225343,0.3016049947055516,0.4986408083916354,-0.5128205128205128,0.0,0.8773874044418335,0.0613062977790832,0.0613062977790832,0.8160811066627502,0.4540202766656875
2005,2005-02-02,statement,237,0,4,-4,-1.6877637130801686,0.0,4,0.7119432877673474,0.3115848830235246,0.7278801422932328,0.5344585091420537,0.0,0.2183065414428711,0.2183065414428711,0.5633869171142578,0.0,0.25
2005,2005-03-22,statement,264,0,4,-4,-1.5151515151515151,0.0,4,0.9081127294214658,0.3279617807380874,0.6971067532371048,0.1726121979286534,0.0,0.5119343996047974,0.2440328001976013,0.2440328001976013,0.267901599407196,0.316975399851799
2005,2005-05-03,statement,260,0,4,-4,-1.5384615384615383,0.0,4,0.9266134344073526,0.3299448749932051,0.7097594234337042,-0.0233100233100234,0.0,0.1954591870307922,0.1954591870307922,0.6090816259384155,0.0,0.25
2005,2005-06-30,statement,238,1,4,-3,-1.2605042016806722,0.2,5,0.9365870126855054,0.3151147632887052,0.7022873973982466,0.2779573367808663,0.2,0.2510108798742294,0.2510108798742294,0.4979782402515411,0.0,0.35
2005,2005-08-09,statement,251,1,4,-3,-1.195219123505976,0.2,5,0.932520336224452,0.3288112841212488,0.7174179904689074,0.065285078174696,0.0,0.5605772137641907,0.2197113931179046,0.2197113931179046,0.340865820646286,0.4352164551615715
2006,2006-01-31,statement,185,1,0,1,0.5405405405405406,1.0,1,0.6435785630259794,0.3058978727242551,0.6357053125834808,1.7357596640465167,0.8,0.8538007140159607,0.0730996429920196,0.0730996429920196,0.780701071023941,0.9451752677559851
2006,2006-03-28,statement,244,1,2,-1,-0.4098360655737705,0.3333333333333333,3,0.8103066003058305,0.2959843728536011,0.6273570378180826,-0.9503766061143112,-0.6666666666666667,0.8828951716423035,0.0585524141788482,0.0585524141788482,0.8243427574634552,0.6227523560325304
2006,2006-05-10,statement,291,2,2,0,0.0,0.5,4,0.8372627423153803,0.2806081747914044,0.6104630603776886,0.4098360655737705,0.1666666666666666,0.1565571427345276,0.1565571427345276,0.6868857145309448,0.0,0.5
2006,2006-06-29,statement,254,2,1,1,0.3937007874015747,0.6666666666666666,3,0.7922581010270087,0.335760411566696,0.5812564716978742,0.3937007874015747,0.1666666666666666,0.8358099460601807,0.0820950269699096,0.0820950269699096,0.753714919090271,0.771762063105901
