rmse_mean,rmse_std,mae_mean,mae_std,model,target,n_features
0.15102045970374015,0.029672980668071065,0.11720508161144434,0.022368797680823015,Random Forest,yield_10y_chg5d,19
0.17069119889935547,0.030231391086192053,0.13345011848818147,0.026653473505513694,XGBoost,yield_10y_chg5d,19
0.08137901175973927,0.028407899792439247,0.06345212102067341,0.021645733343739065,Baseline (macro only),spread_2s10s_chg1d,6
0.11573298873117326,0.03877412919165041,0.08749596020324303,0.0220340750581376,Linear (keyword NLP+macro),spread_2s10s_chg1d,15
0.10629092815682481,0.023966188349002302,0.08182472114620838,0.01542608110196069,Ridge (full NLP+macro),spread_2s10s_chg1d,19
0.07955769876908757,0.028884077108408488,0.06228906256285348,0.022264270181683966,Lasso (full NLP+macro),spread_2s10s_chg1d,19
0.082356000937483,0.02797647126981356,0.06617791550723764,0.02178820504847313,Random Forest,spread_2s10s_chg1d,19
0.1079267959616856,0.05790276610903677,0.09036560423220613,0.052325470585798894,XGBoost,spread_2s10s_chg1d,19
0.09707001711573633,0.03194653377976451,0.07495018500506484,0.025608268641757616,Baseline (macro only),spread_2s10s_chg3d,6
0.12469431315609192,0.060108104217921385,0.09836217579107309,0.044551601959132346,Linear (keyword NLP+macro),spread_2s10s_chg3d,15
0.110504894116111,0.03759905884839601,0.0842715022949589,0.026255615259083168,Ridge (full NLP+macro),spread_2s10s_chg3d,19
0.0941569054940463,0.031569791419062944,0.0722713574571888,0.023892943004209168,Lasso (full NLP+macro),spread_2s10s_chg3d,19
0.09730675264996391,0.030981327108254623,0.07547635230589797,0.022657908284943115,Random Forest,spread_2s10s_chg3d,19
0.1397286105551371,0.07708801831167734,0.11572695980291818,0.07247457009341392,XGBoost,spread_2s10s_chg3d,19
0.1094195368384923,0.036160318555787815,0.08577896074142079,0.027520765456639933,Baseline (macro only),spread_2s10s_chg5d,6
0.14714851214311192,0.05012149284938008,0.1198165618927413,0.039958205551144446,Linear (keyword NLP+macro),spread_2s10s_chg5d,15
0.14119347875629576,0.04461749076678256,0.11418689776373021,0.034297214759152116,Ridge (full NLP+macro),spread_2s10s_chg5d,19
0.10781221795370122,0.04130063456542482,0.08422748179224457,0.03100149210235652,Lasso (full NLP+macro),spread_2s10s_chg5d,19
0.10840882175401767,0.04067241675370834,0.08513631852487108,0.030558277998122083,Random Forest,spread_2s10s_chg5d,19
0.17697238548938765,0.12664859602275247,0.1498968104985392,0.1220805355042896,XGBoost,spread_2s10s_chg5d,19
