rmse_mean,rmse_std,mae_mean,mae_std,model,target,n_features
0.08813638512473666,0.04835363190731113,0.06933327203773916,0.037703814473395235,Baseline (macro only),yield_2y_chg1d,6
0.3015902026708662,0.2675586884850554,0.24592863285334712,0.22409314966940752,Linear (keyword NLP+macro),yield_2y_chg1d,15
0.10424527740734409,0.05837024582630545,0.08354775786525963,0.04672857817560526,Linear (FinBERT NLP+macro),yield_2y_chg1d,11
0.2045649102250578,0.13456533715242464,0.17280176468040193,0.12512600976589575,Ridge (full NLP+macro),yield_2y_chg1d,20
0.09737699746826171,0.04609560946281389,0.07504773017894177,0.03494076075939277,Lasso (full NLP+macro),yield_2y_chg1d,20
0.10056663013217688,0.040098322712187114,0.08322142028118687,0.03882129046551185,Random Forest,yield_2y_chg1d,20
0.11646727044096994,0.0543652317070698,0.09708010256446761,0.056660966275985145,XGBoost,yield_2y_chg1d,20
