acc_mean,acc_std,f1_mean,f1_std,model,target,majority_baseline
0.5290322580645161,0.07523808896574581,0.43493612078977933,0.2300949509945866,Baseline (macro only),yield_2y_dir1d,0.5979
0.5161290322580645,0.09784355411679423,0.40513591671486404,0.15851325241749115,Logistic (full NLP+macro),yield_2y_dir1d,0.5979
0.5225806451612903,0.06579380017539076,0.36526315789473685,0.19996121507588924,Random Forest Classifier,yield_2y_dir1d,0.5979
0.5161290322580645,0.14426245016127676,0.25989247311827957,0.22012714559230487,Baseline (macro only),yield_2y_dir3d,0.5926
0.5870967741935483,0.09214746359410131,0.1424688995215311,0.12513372385186816,Logistic (full NLP+macro),yield_2y_dir3d,0.5926
0.5548387096774193,0.0943789602472761,0.13333333333333336,0.18933938608258558,Random Forest Classifier,yield_2y_dir3d,0.5926
0.4903225806451613,0.059130008967172104,0.4636363636363637,0.1448852495500839,Baseline (macro only),yield_2y_dir5d,0.5344
0.4903225806451613,0.08510261908563174,0.298058179637127,0.16121411677397549,Logistic (full NLP+macro),yield_2y_dir5d,0.5344
0.4967741935483871,0.03870967741935483,0.34457671957671954,0.14454833754244764,Random Forest Classifier,yield_2y_dir5d,0.5344
0.5548387096774194,0.055498872690597605,0.20063492063492064,0.25729879653412446,Baseline (macro only),yield_10y_dir1d,0.5503
0.5354838709677419,0.08798826901281197,0.3309740887132192,0.21234347317377325,Logistic (full NLP+macro),yield_10y_dir1d,0.5503
0.5354838709677419,0.06642342026443226,0.44840357598978287,0.08325184528416389,Random Forest Classifier,yield_10y_dir1d,0.5503
0.5290322580645161,0.06321263852343685,0.3465891698149763,0.2851217776749944,Baseline (macro only),spread_2s10s_dir1d,0.5026
0.5290322580645161,0.048279450151921845,0.4256110836219693,0.2984677520238603,Logistic (full NLP+macro),spread_2s10s_dir1d,0.5026
0.4709677419354839,0.059829796745133584,0.49227477037326556,0.13290952936346728,Random Forest Classifier,spread_2s10s_dir1d,0.5026
