fomc_date,yield_2y_pre,yield_2y_chg1d,yield_2y_dir1d,yield_2y_chg3d,yield_2y_dir3d,yield_2y_chg5d,yield_2y_dir5d,yield_10y_pre,yield_10y_chg1d,yield_10y_dir1d,yield_10y_chg3d,yield_10y_dir3d,yield_10y_chg5d,yield_10y_dir5d,spread_2s10s_pre,spread_2s10s_chg1d,spread_2s10s_dir1d,spread_2s10s_chg3d,spread_2s10s_dir3d,spread_2s10s_chg5d,spread_2s10s_dir5d,fed_funds_rate,cpi_yoy,unemployment
1994-02-04,4.28,0.1299999999999999,1,0.14999999999999947,1,0.16000000000000014,1,5.81,0.15000000000000036,1,0.11000000000000032,1,0.07000000000000028,1,1.5299999999999994,0.020000000000000462,1,-0.03999999999999915,0,-0.08999999999999986,0,3.19,,6.6
1994-05-17,6.03,-0.20000000000000018,0,-0.23000000000000043,0,-0.08999999999999986,0,7.24,-0.20999999999999996,0,-0.22000000000000064,0,-0.07000000000000028,0,1.21,-0.009999999999999787,0,0.009999999999999787,1,0.019999999999999574,1,4.27,,6.1
1994-08-16,6.26,-0.1200000000000001,0,-0.02999999999999936,0,0.0,0,7.3,-0.14999999999999947,0,-0.03000000000000025,0,-0.019999999999999574,0,1.04,-0.02999999999999914,0,-8.881784197001252e-16,0,-0.019999999999999574,0,4.35,,6.0
1994-11-15,7.06,0.09000000000000075,1,0.17000000000000082,1,0.23000000000000043,1,7.94,0.02999999999999936,1,0.0699999999999994,1,0.05999999999999961,1,0.8800000000000008,-0.060000000000001386,0,-0.10000000000000142,0,-0.17000000000000082,0,5.59,1.8354860639021144,5.6
1995-02-01,7.26,0.14000000000000057,1,-0.08000000000000007,0,-0.08000000000000007,0,7.6,0.08000000000000007,1,-0.0699999999999994,0,-0.0699999999999994,0,0.3399999999999998,-0.0600000000000005,0,0.010000000000000675,1,0.010000000000000675,1,5.25,2.30508474576272,5.4
1995-07-06,5.78,-0.2400000000000002,0,-0.1900000000000004,0,-0.16999999999999993,0,6.19,-0.15000000000000036,0,-0.10000000000000053,0,-0.10000000000000053,0,0.4100000000000001,0.08999999999999991,1,0.08999999999999991,1,0.0699999999999994,1,6.06,2.141900937081642,5.7
1995-12-19,5.43,-0.09999999999999964,0,-0.14999999999999947,0,-0.16000000000000014,0,5.85,-0.08999999999999986,0,-0.13999999999999968,0,-0.15999999999999925,0,0.4199999999999999,0.009999999999999842,1,0.009999999999999842,1,9.43689570931383e-16,1,5.63,1.383399209486158,5.6
1996-01-31,5.02,-0.08999999999999986,0,-0.0699999999999994,0,-0.09999999999999964,0,5.63,0.0,0,0.07000000000000028,1,0.03000000000000025,1,0.6100000000000003,0.08999999999999986,1,0.13999999999999968,1,0.1299999999999999,1,5.71,1.709401709401703,5.6
2003-01-29,1.7,0.0,0,0.020000000000000018,1,0.030000000000000027,1,4.0,0.0,0,0.009999999999999787,1,0.019999999999999574,1,2.3,0.0,0,-0.009999999999999787,0,-0.009999999999999787,0,1.26,1.7270194986072296,5.8
2003-03-18,1.63,0.09000000000000008,1,0.17000000000000015,1,0.06000000000000005,1,3.82,0.16000000000000014,1,0.2900000000000005,1,0.15000000000000036,1,2.19,0.06999999999999984,1,0.12000000000000055,1,0.08999999999999986,1,1.2,2.1666666666666723,5.9
