year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta
2003,2003-12-09,statement,172,0,5,-5,-2.9069767441860463,0.0,5,0.839731966567082,0.2646472662823939,0.3871140911017582,-0.7211843944592702,0.0
2004,2004-01-28,statement,176,0,6,-6,-3.4090909090909087,0.0,6,0.7861511968500197,0.2688287051670628,0.3825633456822466,-0.5021141649048624,0.0
2004,2004-03-16,statement,175,0,6,-6,-3.428571428571429,0.0,6,0.8855997133831423,0.258184860034875,0.3839983879166223,-0.01948051948052,0.0
2004,2004-05-04,statement,173,0,5,-5,-2.8901734104046244,0.0,5,0.7752164639918795,0.2751966686438098,0.3958533629555172,0.5383980181668044,0.0
2004,2004-06-30,statement,254,1,4,-3,-1.1811023622047243,0.2,5,0.5558783204923156,0.2951549797266165,0.7030381533803667,1.7090710481999,0.2
2004,2004-08-10,statement,272,1,4,-3,-1.1029411764705883,0.2,5,0.8819145702997316,0.3079647837831405,0.7212405336931782,0.078161185734136,0.0
2004,2004-09-21,statement,253,0,4,-4,-1.5810276679841897,0.0,4,0.9107161777619304,0.3075073514621939,0.7184058264433496,-0.4780864915136014,-0.2
2004,2004-11-10,statement,234,0,4,-4,-1.7094017094017095,0.0,4,0.9055071475756876,0.3127140863754131,0.7181345229164677,-0.1283740414175198,0.0
2004,2004-12-14,statement,180,0,4,-4,-2.2222222222222223,0.0,4,0.7783546262225343,0.3016049947055516,0.4986408083916354,-0.5128205128205128,0.0
2005,2005-02-02,statement,237,0,4,-4,-1.6877637130801686,0.0,4,0.7119432877673474,0.3115848830235246,0.7278801422932328,0.5344585091420537,0.0
2005,2005-03-22,statement,264,0,4,-4,-1.5151515151515151,0.0,4,0.9081127294214658,0.3279617807380874,0.6971067532371048,0.1726121979286534,0.0
2005,2005-05-03,statement,260,0,4,-4,-1.5384615384615383,0.0,4,0.9266134344073526,0.3299448749932051,0.7097594234337042,-0.0233100233100234,0.0
2005,2005-06-30,statement,238,1,4,-3,-1.2605042016806722,0.2,5,0.9365870126855054,0.3151147632887052,0.7022873973982466,0.2779573367808663,0.2
2005,2005-08-09,statement,251,1,4,-3,-1.195219123505976,0.2,5,0.932520336224452,0.3288112841212488,0.7174179904689074,0.065285078174696,0.0
2006,2006-01-31,statement,185,1,0,1,0.5405405405405406,1.0,1,0.6435785630259794,0.3058978727242551,0.6357053125834808,1.7357596640465167,0.8
2006,2006-03-28,statement,244,1,2,-1,-0.4098360655737705,0.3333333333333333,3,0.8103066003058305,0.2959843728536011,0.6273570378180826,-0.9503766061143112,-0.6666666666666667
2006,2006-05-10,statement,291,2,2,0,0.0,0.5,4,0.8372627423153803,0.2806081747914044,0.6104630603776886,0.4098360655737705,0.1666666666666666
2006,2006-06-29,statement,254,2,1,1,0.3937007874015747,0.6666666666666666,3,0.7922581010270087,0.335760411566696,0.5812564716978742,0.3937007874015747,0.1666666666666666
2006,2006-08-08,statement,165,2,1,1,0.6060606060606061,0.6666666666666666,3,0.607999928158939,0.3310431594967089,0.2501987722286398,0.2123598186590313,0.0
2006,2006-09-20,statement,151,2,0,2,1.3245033112582782,1.0,2,0.9007190565444693,0.3181185256033787,0.2570050085349231,0.7184427051976722,0.3333333333333333
2006,2006-10-25,statement,155,2,0,2,1.2903225806451613,1.0,2,0.8829522043228412,0.3245253118648205,0.2525248914859214,-0.0341807306131169,0.0
2006,2006-12-12,statement,165,2,0,2,1.2121212121212122,1.0,2,0.9503160784248056,0.3343081789960571,0.2468918476207526,-0.0782013685239491,0.0
2007,2007-01-31,statement,138,1,0,1,0.7246376811594203,1.0,1,0.7626882288533272,0.3099118095734247,0.2359141428817989,-0.4874835309617918,0.0
2007,2007-03-21,statement,130,1,0,1,0.7692307692307693,1.0,1,0.6984089886930153,0.3011484942165228,0.2122039550603971,0.0445930880713489,0.0
2007,2007-05-09,statement,129,1,0,1,0.7751937984496124,1.0,1,0.8866708364118905,0.3099423742411176,0.2263251777294863,0.0059630292188431,0.0
2007,2007-06-18,statement,143,0,0,0,0.0,0.0,0,0.826774939818489,0.3037476807152455,0.2304150404186504,-0.7751937984496124,-1.0
2007,2007-08-07,statement,173,0,2,-2,-1.1560693641618496,0.0,2,0.8225392454758921,0.3365017247441732,0.238730177752822,-1.1560693641618496,0.0
2007,2007-08-17,statement,132,0,2,-2,-1.5151515151515151,0.0,2,0.3837098023114648,0.2173757630862249,0.1399521793305224,-0.3590821509896655,0.0
2007,2007-09-18,statement,223,2,0,2,0.8968609865470852,1.0,2,0.2997856685911103,0.3024438256315536,0.5135264032301298,2.4120125016986003,1.0
2007,2007-10-31,statement,254,3,2,1,0.3937007874015747,0.6,5,0.7175551653039447,0.3496873138391584,0.5427485569463472,-0.5031601991455105,-0.4
2007,2007-12-11,statement,225,2,2,0,0.0,0.5,4,0.8333744301780316,0.3408511212326976,0.54209260359685,-0.3937007874015747,-0.0999999999999999
2008,2008-01-22,statement,195,0,3,-3,-2.564102564102564,0.0,3,0.5262733391747242,0.3145858320398165,0.4210557469878211,-2.564102564102564,-0.5
2008,2008-01-30,statement,200,0,3,-3,-1.5,0.0,3,0.751433479546097,0.2891499722322644,0.5267255023387812,1.064102564102564,0.0
2008,2008-03-11,statement,435,0,0,0,0.0,0.0,0,0.096347744162497,0.1486512336765288,0.0865167223467719,1.5,0.0
2008,2008-03-18,statement,244,2,3,-1,-0.4098360655737705,0.4,5,0.1052108937671365,0.3615447201725889,0.5005572646775643,-0.4098360655737705,0.4
2008,2008-04-30,statement,253,0,1,-1,-0.7905138339920948,0.0,1,0.8136205434213407,0.3635323078823083,0.5017032934256442,-0.3806777684183243,-0.4
2008,2008-06-25,statement,198,3,3,0,0.0,0.5,6,0.568959335462747,0.3968808517634748,0.2811408333716491,0.7905138339920948,0.5
